,Phrase1,Phrase2
487,17.mp4.md,17_Text_Representation_Using_Bag_Of_n-grams_NLP_Tutorial_For_Beginners_-_17.mp4.md
488,7.mp4.md,17_Text_Representation_Using_Bag_Of_n-grams_NLP_Tutorial_For_Beginners_-_17.mp4.md
489,18.mp4.md,18_Text_Representation_Using_TF-IDF_NLP_Tutorial_For_Beginners_-_18.mp4.md
490,18.mp4.md,18_Text_Representation_Using_TF-IDF_NLP_Tutorial_For_Beginners_-_18.mp4.md
491,8.mp4.md,18_Text_Representation_Using_TF-IDF_NLP_Tutorial_For_Beginners_-_18.mp4.md
492,18.mp4.md,18_Text_Representation_Using_TF-IDF_NLP_Tutorial_For_Beginners_-_18.mp4.md
493,8.mp4.md,18_Text_Representation_Using_TF-IDF_NLP_Tutorial_For_Beginners_-_18.mp4.md
494,19.mp4.md,19_Text_Representation_Using_Word_Embeddings_NLP_Tutorial_For_Beginners_-_19.mp4.md
495,19.mp4.md,19_Text_Representation_Using_Word_Embeddings_NLP_Tutorial_For_Beginners_-_19.mp4.md
496,9.mp4.md,19_Text_Representation_Using_Word_Embeddings_NLP_Tutorial_For_Beginners_-_19.mp4.md
497,19.mp4.md,19_Text_Representation_Using_Word_Embeddings_NLP_Tutorial_For_Beginners_-_19.mp4.md
498,9.mp4.md,19_Text_Representation_Using_Word_Embeddings_NLP_Tutorial_For_Beginners_-_19.mp4.md
499,1.mp4.md,1_Introduction__NLP_Tutorial_For_Beginners_In_Python__-__1.mp4.md
500,1.mp4.md,1_Introduction__NLP_Tutorial_For_Beginners_In_Python__-__1.mp4.md
501,1.mp4.md,1_Introduction__NLP_Tutorial_For_Beginners_In_Python__-__1.mp4.md
502,20.mp4.md,20_Word_vectors_in_Spacy_overview_NLP_Tutorial_For_Beginners_-_20.mp4.md
503,20.mp4.md,20_Word_vectors_in_Spacy_overview_NLP_Tutorial_For_Beginners_-_20.mp4.md
504,20.mp4.md,20_Word_vectors_in_Spacy_overview_NLP_Tutorial_For_Beginners_-_20.mp4.md
505,1.mp4.md,21_News_classification_using_Spacy_word_vectors_NLP_Tutorial_For_Beginners_-_21.mp4.md
506,21.mp4.md,21_News_classification_using_Spacy_word_vectors_NLP_Tutorial_For_Beginners_-_21.mp4.md
507,1.mp4.md,21_News_classification_using_Spacy_word_vectors_NLP_Tutorial_For_Beginners_-_21.mp4.md
508,21.mp4.md,21_News_classification_using_Spacy_word_vectors_NLP_Tutorial_For_Beginners_-_21.mp4.md
509,1.mp4.md,21_News_classification_using_Spacy_word_vectors_NLP_Tutorial_For_Beginners_-_21.mp4.md
510,21.mp4.md,21_News_classification_using_Spacy_word_vectors_NLP_Tutorial_For_Beginners_-_21.mp4.md
511,2.mp4.md,22_Word_vectors_in_Gensim_overview_NLP_Tutorial_For_Beginners_-_22.mp4.md
512,22.mp4.md,22_Word_vectors_in_Gensim_overview_NLP_Tutorial_For_Beginners_-_22.mp4.md
513,2.mp4.md,22_Word_vectors_in_Gensim_overview_NLP_Tutorial_For_Beginners_-_22.mp4.md
514,22.mp4.md,22_Word_vectors_in_Gensim_overview_NLP_Tutorial_For_Beginners_-_22.mp4.md
515,2.mp4.md,22_Word_vectors_in_Gensim_overview_NLP_Tutorial_For_Beginners_-_22.mp4.md
516,22.mp4.md,22_Word_vectors_in_Gensim_overview_NLP_Tutorial_For_Beginners_-_22.mp4.md
517,23.mp4.md,23_News_classification_using_Gensim_word_vectors_NLP_Tutorial_For_Beginners_-_23.mp4.md
518,23.mp4.md,23_News_classification_using_Gensim_word_vectors_NLP_Tutorial_For_Beginners_-_23.mp4.md
519,3.mp4.md,23_News_classification_using_Gensim_word_vectors_NLP_Tutorial_For_Beginners_-_23.mp4.md
520,23.mp4.md,23_News_classification_using_Gensim_word_vectors_NLP_Tutorial_For_Beginners_-_23.mp4.md
521,3.mp4.md,23_News_classification_using_Gensim_word_vectors_NLP_Tutorial_For_Beginners_-_23.mp4.md
522,24.mp4.md,24_fastText_Tutorial__Train_Custom_Word_Vectors_in_fastText__NLP_Tutorial_For_Beginners_-_24.mp4.md
523,24.mp4.md,24_fastText_Tutorial__Train_Custom_Word_Vectors_in_fastText__NLP_Tutorial_For_Beginners_-_24.mp4.md
524,4.mp4.md,24_fastText_Tutorial__Train_Custom_Word_Vectors_in_fastText__NLP_Tutorial_For_Beginners_-_24.mp4.md
525,24.mp4.md,24_fastText_Tutorial__Train_Custom_Word_Vectors_in_fastText__NLP_Tutorial_For_Beginners_-_24.mp4.md
526,4.mp4.md,24_fastText_Tutorial__Train_Custom_Word_Vectors_in_fastText__NLP_Tutorial_For_Beginners_-_24.mp4.md
527,25.mp4.md,25_fastText_tutorial__Text_Classification_Using_fastText__NLP_Tutorial_For_Beginners_-_25.mp4.md
528,5.mp4.md,25_fastText_tutorial__Text_Classification_Using_fastText__NLP_Tutorial_For_Beginners_-_25.mp4.md
529,25.mp4.md,25_fastText_tutorial__Text_Classification_Using_fastText__NLP_Tutorial_For_Beginners_-_25.mp4.md
530,5.mp4.md,25_fastText_tutorial__Text_Classification_Using_fastText__NLP_Tutorial_For_Beginners_-_25.mp4.md
531,2.mp4.md,2_Why_NLP_is_booming_right_now__NLP_Tutorial_For_Beginners_In_Python_-_2.mp4.md
532,2.mp4.md,2_Why_NLP_is_booming_right_now__NLP_Tutorial_For_Beginners_In_Python_-_2.mp4.md
533,2.mp4.md,2_Why_NLP_is_booming_right_now__NLP_Tutorial_For_Beginners_In_Python_-_2.mp4.md
534,3.mp4.md,3_Regex_For_NLP_NLP_Tutorial_For_Beginners_In_Python_-_3.mp4.md
535,3.mp4.md,3_Regex_For_NLP_NLP_Tutorial_For_Beginners_In_Python_-_3.mp4.md
536,4.mp4.md,4_Three_Category_Of_Techniques_for_NLP__NLP_Tutorial_For_Beginners_In_Python_-_4.mp4.md
